defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/HP_0010472	Abnormal circulating porphyrin concentration	http://purl.obolibrary.org/obo/GO_0006783	heme biosynthetic process	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0030914	Abnormal peristalsis	http://purl.obolibrary.org/obo/GO_0030432	peristalsis	http://purl.obolibrary.org/obo/UBERON_0001555	digestive tract
